id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,12518,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19976471.0,19976471.0,False,1909976716548.57,,1,,,,2026-01-16T06:40:00.000Z,95611.31776220993,49860938493.85551,-15.5689,0.1937916,-0.64200692,5.08539635,10.1912522,0.75935878,-10.47747085,1909976716548.5715,59.0872,2007837673006.41,,2026-01-16T06:40:00.000Z,,,,,,2026-01-16 12:12:08.193482
1027,Ethereum,ETH,ethereum,11407,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem']",,120694612.72322571,120694612.72322571,True,399493693626.65,,2,,,,2026-01-16T06:40:00.000Z,3309.954641826148,25877986801.53459,-17.3661,0.2076679,-0.07882012,6.1250968,12.70110981,4.0221069,-14.34921998,399493693626.6502,12.3588,399493693626.65,,2026-01-16T06:40:00.000Z,,,,,,2026-01-16 12:12:08.193482
825,Tether USDt,USDT,tether,166981,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,186866822414.56506,190747472198.06125,True,190634146927.04,,3,,,,2026-01-16T06:40:00.000Z,0.99940588847801,100827257164.68341,-17.5865,-0.01073331,-0.02481462,0.05700029,-0.03196683,0.01441838,-0.095434,186755802682.29092,5.7775,190634146927.04,,2026-01-16T06:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-16 12:12:08.193482
1839,BNB,BNB,bnb,3085,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",136361269.43,136361267.51,136361267.51,False,127335675969.64,,4,,,,2026-01-16T06:41:00.000Z,933.8111788987419,2151923069.3774447,-20.7376,0.2900074,-0.11888507,4.3075766,7.87969866,0.3616929,-14.83614493,127335675969.6398,3.9393,127335677762.56,,2026-01-16T06:41:00.000Z,,,,,,2026-01-16 12:12:08.193482
52,XRP,XRP,xrp,1782,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60699081830.0,99985731168.0,False,207135753666.18,,5,,,,2026-01-16T06:40:00.000Z,2.0716531373676412,2647267646.6585026,-31.6677,0.1960255,-0.92494398,-3.11135117,7.66031604,-8.09591218,-11.54022166,125747443308.45468,3.8901,207165313736.76,,2026-01-16T06:40:00.000Z,,,,,,2026-01-16 12:12:08.193482
5426,Solana,SOL,solana,1073,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,565322625.1582937,618363996.6933714,True,88492109780.55,,6,525236893.3,75164985463.64714,,2026-01-16T06:40:00.000Z,143.10682745721576,4239645116.3828874,-27.2748,0.69387131,-0.75485766,2.35244947,11.93590482,1.69816936,-22.80785241,80901527376.1882,2.5028,88492109780.55,,2026-01-16T06:40:00.000Z,,,,,,2026-01-16 12:12:08.193482
3408,USDC,USDC,usd-coin,36397,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,75642667663.89642,75642667663.89642,False,75612380717.94,,7,60901219650.23,60876835106.35469,,2026-01-16T06:40:00.000Z,0.9995996049994506,13284385071.970184,-31.774,-0.00081108,-0.00888686,-0.04447988,-0.01724651,-0.02156881,-0.03065301,75612380717.93558,2.3391,75612380717.94,,2026-01-16T06:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2026-01-16 12:12:08.193482
1958,TRON,TRX,tron,1279,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94705757601.97986,94705780467.86986,True,29341920606.38,,8,94667886298.43,29330180164.497593,,2026-01-16T06:40:00.000Z,0.3098218552386124,811253760.8758601,15.3117,0.09765475,1.25244412,5.47405501,10.61857857,5.88507863,-0.85931045,29341913522.02372,0.9077,29341920606.38,,2026-01-16T06:40:00.000Z,,,,,,2026-01-16 12:12:08.193482
74,Dogecoin,DOGE,dogecoin,1376,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,168337343126.57907,168337343126.57907,True,23594585753.0,,9,,,,2026-01-16T06:40:00.000Z,0.1401625172096067,1344145659.2444112,-22.2144,0.37730137,-1.98821447,-1.72512994,6.88764064,-12.96642648,-24.82242121,23594585752.998608,0.7299,23594585753.0,,2026-01-16T06:40:00.000Z,,,,,,2026-01-16 12:12:08.193482
2010,Cardano,ADA,cardano,1664,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",45000000000.0,35961056222.10074,44994361798.445496,False,17697032647.27,,10,37997904336.0,14945209281.427443,,2026-01-16T06:40:00.000Z,0.39331667213204813,631920800.2772508,-16.3051,0.3425578,-2.03783714,-1.0019252,3.23437964,-19.97496859,-37.31434516,14144082959.630146,0.4376,17699250245.94,,2026-01-16T06:40:00.000Z,,,,,,2026-01-16 12:12:08.193482
328,Monero,XMR,monero,351,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",,18446744.07370955,18446744.07370955,True,12479288054.61,,11,,,,2026-01-16T06:40:00.000Z,676.5035609937825,329626301.6453598,-32.5395,0.83025704,-2.30426122,47.09954549,58.15145356,71.96306118,131.76281044,12479288054.605465,0.3861,12479288054.61,,2026-01-16T06:40:00.000Z,,,,,,2026-01-16 12:12:08.193482
1831,Bitcoin Cash,BCH,bitcoin-cash,1123,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19981440.625,19981440.625,False,12007160248.62,,12,,,,2026-01-16T06:40:00.000Z,600.9156433691865,968865917.4511653,-2.0113,0.28407317,-1.77601159,-5.23394826,10.05114217,23.07384619,26.76771151,12007160248.615074,0.3715,12619228510.75,,2026-01-16T06:40:00.000Z,,,,,,2026-01-16 12:12:08.193482
1975,Chainlink,LINK,chainlink,2192,2017-09-20T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'defi', 'interoperability', 'iot', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'tron-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'xdc-ecosystem', 'metisdao-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'kadena-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'paal-ecosystem', 'blast-ecosystem', 'atomicals-ecosystem', 'move-vm', 'eigenlayer-ecosystem', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'ronin-ecosystem', 'astar-ecosystem', 'core-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'opbnb-ecosystem', 'scroll-ecosystem', 'merlin-ecosystem', 'x-layer-ecosystem', 'b²-network-ecosystem', 'mode-ecosystem', 'world-chain-mainnet-ecosystem', 'made-in-america', 'btcfi', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'bonk-fun-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'bittensor-ecosystem', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'bera-chain-ecosystem', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'fraxtal-ecosystem', 'monad-ecosystem', 'hashkey-chain-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem', 'x402-ecosystem', 'iso-20022']",1000000000.0,708099970.4525867,1000000000.0,False,13794144041.93,,13,,,,2026-01-16T06:41:00.000Z,13.794144041928902,526585729.5326614,-7.4107,0.41532559,-0.5119594,4.02014218,8.01151879,-1.24155265,-17.15760265,9767632988.50858,0.3022,13794144041.93,,2026-01-16T06:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2026-01-16 12:12:08.193482
3957,UNUS SED LEO,LEO,unus-sed-leo,65,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,921693173.9,985239504.0,False,8765960250.24,,14,,,,2026-01-16T06:41:00.000Z,8.897288643678781,792480.98506149,-62.2512,0.06776728,0.03739449,-2.02453069,-1.43211397,-3.51230639,-5.62098022,8200570209.096722,0.2537,8765960250.24,,2026-01-16T06:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2026-01-16 12:12:08.193482
